,irr_word,irr_freq,irr_doc_freq
335,hiring,239,49
336,john,239,29
337,chairman,238,37
338,vaccine,238,33
339,men,237,66
340,educational,237,50
341,want,236,55
342,message,235,43
343,discussion,234,55
344,minority,234,49
345,items,234,45
346,establish,233,65
347,trends,233,53
348,comply,232,55
349,girls,232,33
350,humanity,232,22
351,matter,231,65
352,enables,231,50
353,foundational,231,41
354,questions,230,52
355,effectiveness,230,48
356,disease,229,39
357,trials,229,17
358,presented,228,62
359,asian,228,41
360,according,227,57
361,cancer,227,23
362,broadcom,227,1
363,updates,225,52
364,assumptions,225,46
365,often,224,51
366,recycle,223,61
367,respond,223,60
368,relations,222,63
369,empower,222,56
370,study,222,46
371,sdgs,222,39
372,shareholder,220,52
373,parts,220,51
374,cash,220,46
375,factories,220,16
376,academy,219,30
377,manager,218,60
378,score,218,53
379,assessed,217,52
380,collected,217,46
381,recyclable,217,36
382,difference,216,56
383,conflict,216,53
384,update,215,63
385,evolving,215,57
386,explanation,215,25
387,adult,215,25
388,altria,215,5
389,visit,214,59
390,ecosystem,214,52
391,quarterly,214,48
392,indexes,214,11
393,recordable,213,40
394,vendor,212,41
395,detailed,210,51
396,pharmaceutical,210,16
397,executives,209,48
398,demonstrate,208,63
399,population,208,55
400,affordable,207,40
401,broad,205,63
402,big,205,50
403,agencies,205,48
404,barriers,205,40
405,raise,204,57
406,publicly,204,56
407,nicotine,204,2
408,always,203,52
409,oversees,203,50
410,central,202,60
411,finance,202,54
412,informed,201,55
413,crisis,201,50
414,military,201,34
415,slavery,201,30
416,connect,200,62
417,careers,200,45
418,advocacy,199,48
419,wage,199,40
420,safer,199,34
421,applied,198,46
422,candidates,198,46
423,participating,197,53
424,perspectives,197,52
425,circularity,197,28
426,creation,196,56
427,note,194,57
428,adobe,194,4
429,course,193,57
430,held,192,53
431,still,192,53
432,manner,192,50
433,certifications,192,41
434,glance,192,20
435,trained,190,51
436,accessible,190,47
437,property,190,40
438,animal,190,31
439,respecting,190,30
440,feel,189,52
441,violations,189,41
442,nutrition,189,24
443,cigarettes,189,2
444,loss,188,57
445,elc,187,46
446,calculation,187,46
447,factory,187,28
448,mondelēz,187,2
449,exchange,186,56
450,users,186,38
451,taxes,186,31
452,erm,185,66
453,male,185,51
454,retention,185,45
455,veterans,185,38
456,withdrawal,185,36
457,grant,184,54
458,influence,184,52
459,collaborative,184,48
460,hazards,184,40
461,glossary,184,8
462,closely,183,53
463,schools,183,44
464,formal,182,53
465,forum,182,48
466,findings,182,41
467,aspects,181,54
468,disaster,181,52
469,face,180,61
470,transparent,180,56
471,smart,180,50
472,offered,180,47
473,identification,180,47
474,device,180,39
475,fda,180,11
476,institutions,179,50
477,approaches,179,50
478,platforms,179,46
479,hires,179,41
480,return,178,60
481,reliability,178,39
482,wastewater,178,30
483,cause,177,65
484,serving,177,58
485,historically,177,49
486,said,177,30
487,give,176,62
488,recruitment,176,40
489,guests,176,11
490,principle,175,63
491,securities,175,57
492,contact,175,52
493,continually,175,51
494,february,175,40
495,colleague,175,40
496,vaccines,175,26
497,effectively,174,53
498,reliable,174,42
499,person,173,58
500,week,173,54
501,courses,173,46
502,accountable,173,44
503,regulation,172,61
504,media,172,59
505,affected,172,53
506,coffee,172,16
507,reference,171,60
508,unless,171,50
509,hispanic,171,46
510,function,170,59
511,fundamental,170,55
512,reusable,170,32
513,trafficking,170,32
514,corruption,169,47
515,college,169,47
516,diseases,169,21
517,integrate,168,64
518,corrective,168,44
519,surveys,168,44
520,strengthening,168,41
521,excludes,168,40
522,iqos,168,2
523,indicator,167,49
524,operates,167,47
525,hosted,167,44
526,ethnic,166,51
527,discharge,166,38
528,performed,165,35
529,extreme,164,52
530,potentially,164,48
531,evolve,163,56
532,guiding,163,45
533,revenues,163,33
534,fundamentals,163,16
535,investor,162,63
536,optimize,162,48
537,resiliency,162,47
538,pledge,162,46
539,lost,162,40
540,belonging,162,35
541,turnover,162,32
542,aerospace,162,12
543,sec,161,66
544,factor,161,65
545,miles,161,54
546,funds,161,47
547,exploring,161,45
548,define,160,63
549,special,160,63
550,foundations,160,17
551,selection,159,48
552,dialogue,159,46
553,acquisitions,159,43
554,affairs,159,39
555,https,159,27
556,sugar,159,15
557,present,158,65
558,fresh,158,56
559,entities,158,49
560,daily,158,49
561,medium,158,48
562,fostering,158,48
563,networks,158,47
564,serves,157,54
565,functional,157,54
566,quantitative,157,28
567,philip,157,21
568,smarter,157,10
569,concern,156,59
570,expansion,156,53
571,solve,156,49
572,especially,156,49
573,causes,156,43
574,organizational,156,43
575,morris,156,4
576,coverage,155,42
577,payments,155,33
578,cr,154,66
579,charitable,154,41
580,webpage,154,18
581,trial,153,55
582,contractor,153,49
583,underserved,153,37
584,volunteers,153,35
585,smokers,153,3
586,pro,152,66
587,affect,152,57
588,focuses,152,52
589,membership,152,52
590,adverse,152,46
591,ideas,152,45
592,boundaries,152,44
593,officers,152,44
594,apparel,152,7
595,hold,151,65
596,interests,151,46
597,populations,151,39
598,guided,150,49
599,heart,150,44
600,channels,150,43
601,disasters,149,43
602,intelligence,149,40
603,authorities,149,37
604,transform,148,59
605,noted,148,44
606,systemic,148,34
607,assist,147,58
608,inspire,147,54
609,discrimination,147,45
610,measuring,147,42
611,threats,147,38
612,ended,146,64
613,interactions,146,36
614,empowerment,146,36
615,fiber,146,32
616,prepared,145,59
617,relationship,145,57
618,voice,145,50
619,remediation,145,36
620,thermo,145,34
621,substances,145,31
622,drug,145,20
623,civil,144,47
624,approval,144,40
625,crop,144,21
626,tech,143,65
627,refer,143,64
628,vital,143,51
629,allowing,143,49
630,inspired,143,31
631,none,142,38
632,smoking,142,6
633,bms,142,2
634,landscape,141,48
635,history,141,47
636,sectors,141,43
637,named,141,38
638,accuracy,141,35
639,freshwater,141,21
640,steering,140,41
641,continuity,140,34
642,communicate,139,54
643,universities,139,49
644,ngos,139,42
645,methodologies,139,32
646,facilitate,138,51
647,listed,138,48
648,purposes,138,45
649,serious,137,46
650,innovate,137,46
651,extensive,137,44
652,evaluated,137,44
653,holdings,137,9
654,teammates,137,5
655,cigarette,137,3
656,electronic,136,46
657,booking,136,4
658,rise,135,66
659,uncertainties,135,51
660,cyber,135,44
661,fisher,135,6
662,served,134,56
663,thrive,134,42
664,basic,134,41
665,outreach,134,41
666,defense,134,33
667,perform,133,66
668,bias,133,45
669,analytics,133,44
670,personnel,133,38
671,holistic,133,38
672,subsidiaries,133,37
673,compact,133,35
674,ingredient,133,26
675,lines,132,62
676,efficiently,132,48
677,bargaining,132,39
678,fatalities,132,37
679,tables,132,32
680,picture,132,21
681,leads,131,47
682,peers,131,46
683,proactively,131,44
684,disclosed,131,39
685,internally,131,38
686,extended,131,38
687,trainings,131,37
688,nominating,131,33
689,hazard,130,53
690,rba,130,53
691,competition,130,48
692,embedded,130,46
693,losses,130,45
694,spending,130,42
695,behaviors,130,41
696,vulnerable,130,39
697,diversion,130,26
698,differ,129,65
699,conversion,129,41
700,transmission,129,22
701,dei,129,17
702,proactive,128,53
