294,Marathon Oil
295,Marathon Petroleum
296,MarketAxess
297,Marriott International
298,Marsh McLennan
299,Martin Marietta Materials
300,Masco
301,Mastercard
302,Match Group
303,McCormick & Company
304,McDonald's
305,McKesson
306,Medtronic
307,Merck & Co.
308,Meta Platforms
309,MetLife
310,Mettler Toledo
311,MGM Resorts
312,Microchip Technology
313,Micron Technology
314,Microsoft
315,Mid-America Apartment Communities
316,Moderna
317,Mohawk Industries
318,Molina Healthcare
319,Molson Coors Beverage Company
320,Mondelez International
321,Monolithic Power Systems
322,Monster Beverage
323,Moody's Corporation
324,Morgan Stanley
325,The Mosaic Company
326,Motorola Solutions
327,MSCI
328,"Nasdaq, Inc."
329,NetApp
330,Netflix
331,Newell Brands
332,Newmont
333,News Corp (Class A)
334,News Corp (Class B)
335,NextEra Energy
336,Nielsen Holdings
337,"Nike, Inc."
338,NiSource
339,Nordson Corporation
340,Norfolk Southern Railway
341,Northern Trust
342,Northrop Grumman
343,NortonLifeLock
344,Norwegian Cruise Line Holdings
345,NRG Energy
346,Nucor
347,Nvidia
348,"NVR, Inc."
349,NXP Semiconductors
350,O'Reilly Auto Parts
351,Occidental Petroleum
352,Old Dominion
353,Omnicom Group
354,ON Semiconductor
355,Oneok
356,Oracle Corporation
357,Organon & Co.
358,Otis Worldwide
359,Paccar
360,Packaging Corporation of America
361,Paramount Global
362,Parker Hannifin
363,Paychex
364,Paycom
365,PayPal
366,Penn National Gaming
367,Pentair
368,PepsiCo
369,PerkinElmer
370,Pfizer
371,Philip Morris International
372,Phillips 66
373,Pinnacle West
374,Pioneer Natural Resources
375,PNC Financial Services
376,Pool Corporation
377,PPG Industries
378,PPL Corporation
379,Principal Financial Group
380,Procter & Gamble
381,Progressive Corporation
382,Prologis
383,Prudential Financial
384,Public Service Enterprise Group
385,PTC
386,Public Storage
387,PulteGroup
388,PVH
389,Qorvo
390,Quanta Services
391,Qualcomm
392,Quest Diagnostics
393,Ralph Lauren Corporation
394,Raymond James
395,Raytheon Technologies
396,Realty Income
397,Regency Centers
398,Regeneron
399,Regions Financial Corporation
400,Republic Services
401,ResMed
402,Robert Half
403,Rockwell Automation
404,"Rollins, Inc."
405,Roper Technologies
406,Ross Stores
407,Royal Caribbean Group
408,S&P Global
409,Salesforce
410,SBA Communications
411,Schlumberger
412,Seagate Technology
413,Sealed Air
414,Sempra Energy
415,ServiceNow
416,Sherwin-Williams
417,Signature Bank
418,Simon Property Group
419,Skyworks Solutions
420,The J.M. Smucker Company
421,Snap-on
422,SolarEdge
423,Southern Company
424,Southwest Airlines
425,Stanley Black & Decker
426,Starbucks
427,State Street Corporation
428,Steris
429,Stryker Corporation
430,SVB Financial
431,Synchrony Financial
432,Synopsys
433,Sysco
434,T-Mobile US
435,T. Rowe Price
436,Take-Two Interactive
437,"Tapestry, Inc."
438,Target Corporation
439,TE Connectivity
440,Teledyne Technologies
441,Teleflex
442,Teradyne
443,"Tesla, Inc."
444,Texas Instruments
445,Textron
446,Thermo Fisher Scientific
447,TJX Companies
448,Tractor Supply
449,Trane Technologies
450,TransDigm Group
451,The Travelers Companies
452,Trimble Inc.
453,Truist
454,Twitter Inc.
455,Tyler Technologies
456,Tyson Foods
457,U.S. Bank
458,"UDR, Inc."
459,Ulta Beauty
460,Union Pacific Corporation
461,United Airlines Holdings
462,United Parcel Service
463,United Rentals
464,UnitedHealth Group
465,Universal Health Services
466,Valero Energy
467,Ventas
468,Verisign
469,Verisk
470,Verizon
471,Vertex Pharmaceuticals
472,VF Corporation
473,Viatris
474,Vici Properties
475,Visa Inc.
476,Vornado Realty Trust
477,Vulcan Materials Company
478,Wabtec
479,Walgreens Boots Alliance
480,Walmart
481,Warner Bros. Discovery
482,Waste Management
483,Waters Corporation
484,WEC Energy Group
485,Wells Fargo
486,Welltower
487,West Pharmaceutical Services
488,Western Digital
489,WestRock
490,Weyerhaeuser
491,Whirlpool Corporation
492,Williams Companies
493,Willis Towers Watson
494,W. W. Grainger
495,Wynn Resorts
496,Xcel Energy
497,Xylem Inc.
498,Yum! Brands
499,Zebra Technologies
500,Zimmer Biomet
501,Zions Bancorporation
502,Zoetis
